id,cast,crew
9373,16,109
705406,9,2
701906,0,8
115576,12,4
318126,1,8
62338,7,11
147887,12,3
751630,1,0
364103,3,1
189389,0,0
604974,0,2
679634,5,1
25658,12,2
2116,20,135
160446,10,3
605233,0,1
493558,8,1
355959,0,0
142048,8,2
False,False,False
39203,25,5
30518,7,15
11633,12,15
2023,27,157
637253,0,1
448921,26,0
434333,0,1
427158,4,3
339593,9,3
81452,6,2
305145,7,2
148227,14,13
11588,14,13
393,31,172
582657,0,0
441418,0,1
359291,18,6
573834,1,1
615,75,273
766939,29,0
373261,0,1
719845,27,0
355960,29,5
318991,3,2
36091,22,13
21707,13,13
623968,0,10
109078,5,3
322836,8,2
924,38,151
587,43,170
826093,0,0
826092,0,0
768596,2,2
382867,5,1
11351,27,129
652,36,200
254570,0,0
247543,4,4
183854,6,9
465582,0,2
26275,18,17
21551,7,3
20921,31,17
143293,8,3
435,36,289
604836,0,1
315386,9,6
516988,7,7
809093,2,1
586978,3,2
335543,18,10
110850,19,19
470,53,14
336044,4,5
319674,8,3
76434,9,4
801900,1,0
353284,8,2
336025,8,2
52727,7,3
10610,24,18
238,58,43
402872,0,1
8273,28,142
768603,2,2
401856,8,10
441419,0,1
99436,7,2
673,52,206
409573,1,2
374785,2,2
153735,3,1
142553,4,4
105883,6,2
356249,8,3
782978,0,0
404250,5,2
119776,28,7
558,89,215
390950,0,0
117813,7,3
113549,7,32
711283,10,3
123340,16,2
15318,23,11
8953,13,13
587225,8,3
461914,3,3
782287,1,0
34065,24,75
692298,0,2
429193,4,2
426994,5,3
423554,4,5
117826,12,3
87091,4,2
73713,7,11
4289,25,15
440290,5,1
9477,28,173
4552,8,16
809,25,366
410133,5,4
86754,0,3
101752,5,3
57041,1,0
346105,4,2
80866,6,5
656816,6,5
536866,5,18
523939,3,2
301506,11,5
131227,9,7
108078,3,4
504309,5,1
378992,8,5
27510,1,6
452630,2,0
198347,3,6
149634,6,6
332796,1,2
21712,5,8
2789,19,432
2517,15,11
187091,6,6
824206,5,11
795977,18,18
788336,0,0
2662,28,108
1777,28,10
616,48,29
619432,5,5
454581,7,1
321035,19,9
146285,3,2
76822,18,7
16907,14,4
12580,43,10
591214,11,8
45676,4,2
41103,10,4
302580,7,10
215608,2,1
349056,4,5
54150,3,8
9550,47,11
230589,2,0
585186,5,2
52512,6,17
123842,4,2
7131,27,213
770656,2,1
295714,5,2
273451,0,1
200565,9,2
155676,5,4
38969,7,2
36592,45,19
12698,11,15
11081,27,129
6947,21,163
1577,91,167
571943,1,2
418370,12,8
109145,8,9
2048,21,225
1997,26,24
208842,22,5
97978,18,13
476912,1,0
292047,18,3
408145,4,3
145217,10,7
55875,16,4
10733,21,200
2122,22,122
504,37,31
612359,16,5
711898,4,0
281236,1,0
5966,31,137
790816,0,1
299214,8,2
47331,10,8
1487,35,203
107429,6,2
104392,6,5
86383,11,2
82828,9,2
32171,9,8
25439,19,21
197402,11,7
105855,6,2
796792,7,2
441410,10,3
326318,5,3
51163,31,17
36166,11,4
13572,33,134
9902,14,134
4256,60,191
107117,7,2
97982,11,3
11024,34,196
10718,29,136
1586,15,113
220670,0,1
352399,1,1
19044,36,20
419417,4,1
407909,5,3
52720,7,3
427687,0,5
52398,6,8
255955,2,3
537030,7,9
18804,16,34
710535,12,3
551551,13,6
63086,2,7
36092,14,13
34019,31,11
1538,102,266
176,18,92
214067,9,5
124787,7,6
111974,7,6
18486,13,6
673723,1,1
564707,15,2
647452,6,2
11052,9,11
314,58,210
200711,5,7
21379,9,7
723883,5,2
676418,10,3
21966,20,4
10204,32,178
451907,4,3
522698,0,2
552154,0,2
526098,13,3
313574,12,8
7220,35,157
4935,12,181
522560,1,1
318650,7,6
238442,9,5
115397,13,3
12924,13,12
695015,4,5
679068,1,0
404287,12,4
391306,6,3
